时间,A相,B相,C相,A相.1,B相.1,C相.1,A相.2,B相.2,C相.2,A相.3,B相.3,C相.3,A相.4,B相.4,C相.4
2023-01-22 07:10:16,0.305,0.296,0.311,647.217,676.952,665.048,123.69,129.52,127.49,608.34,609.03,610.2,89.8253,89.8302,89.8215
2023-01-22 07:07:16,0.305,0.297,0.312,647.81,677.579,665.661,123.88,129.72,127.68,608.71,609.38,610.55,89.8251,89.8296,89.8214
2023-01-22 07:04:16,0.303,0.294,0.309,647.355,677.1,665.191,123.77,129.64,127.56,608.58,609.44,610.42,89.8264,89.8313,89.8231
2023-01-22 07:01:16,0.306,0.298,0.311,647.336,677.094,665.182,123.73,129.61,127.53,608.39,609.29,610.25,89.8248,89.8293,89.8217
2023-01-22 06:58:16,0.305,0.297,0.311,647.193,676.941,665.03,123.74,129.62,127.56,608.6,609.48,610.54,89.8251,89.8297,89.8218
2023-01-22 06:55:16,0.304,0.296,0.31,647.203,676.949,665.04,123.73,129.62,127.56,608.53,609.5,610.53,89.8257,89.8302,89.8222
2023-01-22 06:52:16,0.304,0.297,0.31,647.887,677.667,665.744,123.89,129.78,127.73,608.66,609.61,610.69,89.8258,89.8299,89.8222
2023-01-22 06:49:16,0.307,0.3,0.314,647.621,677.388,665.469,123.79,129.69,127.62,608.45,609.4,610.43,89.8242,89.8283,89.8204
2023-01-22 06:46:16,0.305,0.298,0.311,647.193,676.944,665.03,123.65,129.51,127.46,608.17,608.97,610.09,89.8254,89.8295,89.8215
2023-01-22 06:43:16,0.299,0.291,0.306,647.578,677.338,665.422,123.76,129.65,127.55,608.33,609.27,610.13,89.8289,89.8331,89.8247
2023-01-22 06:40:16,0.303,0.295,0.31,648.039,677.82,665.894,123.9,129.77,127.68,608.6,609.42,610.32,89.8266,89.8308,89.8224
2023-01-22 06:37:16,0.304,0.297,0.311,648.071,677.863,665.934,123.88,129.78,127.71,608.47,609.43,610.46,89.826,89.8296,89.8218
2023-01-22 06:34:16,0.303,0.296,0.31,647.3,677.06,665.145,123.68,129.53,127.45,608.19,608.98,609.92,89.8265,89.8303,89.8223
2023-01-22 06:31:16,0.304,0.298,0.312,647.375,677.139,665.222,123.7,129.54,127.47,608.21,608.92,609.93,89.8255,89.8292,89.8213
2023-01-22 06:28:16,0.304,0.298,0.311,648.092,677.897,665.962,123.86,129.73,127.68,608.32,609.18,610.25,89.826,89.8293,89.8216
2023-01-22 06:25:16,0.297,0.291,0.305,647.679,677.461,665.536,123.67,129.54,127.51,607.81,608.68,609.86,89.8298,89.8335,89.8254
2023-01-22 06:22:16,0.301,0.295,0.308,647.46,677.237,665.314,123.65,129.54,127.49,607.88,608.85,609.96,89.8275,89.8308,89.8232
2023-01-22 06:19:16,0.307,0.3,0.314,647.668,677.451,665.523,123.6,129.44,127.42,607.45,608.22,609.45,89.8243,89.8279,89.82
2023-01-22 06:16:16,0.304,0.297,0.311,648.072,677.878,665.94,123.87,129.73,127.67,608.4,609.19,610.25,89.826,89.8296,89.8219
2023-01-22 06:13:16,0.3,0.294,0.307,647.713,677.502,665.569,123.78,129.65,127.58,608.31,609.11,610.16,89.828,89.8316,89.8239
2023-01-22 06:10:16,0.305,0.299,0.312,647.231,677.003,665.078,123.65,129.54,127.49,608.1,609.08,610.19,89.8253,89.8289,89.8213
2023-01-22 06:07:16,0.305,0.299,0.312,647.742,677.535,665.601,123.79,129.69,127.59,608.32,609.27,610.16,89.8254,89.8289,89.8214
2023-01-22 06:04:16,0.303,0.297,0.31,647.285,677.058,665.132,123.63,129.55,127.45,607.94,609.06,609.93,89.8263,89.8298,89.8223
2023-01-22 06:01:16,0.311,0.305,0.318,647.306,677.087,665.158,123.66,129.55,127.44,608.09,609.02,609.85,89.8216,89.825,89.8178
2023-01-22 05:58:16,0.304,0.298,0.31,648.097,677.915,665.969,123.91,129.79,127.71,608.59,609.42,610.39,89.826,89.8293,89.8226
2023-01-22 05:55:16,0.304,0.298,0.31,648.075,677.888,665.943,123.87,129.75,127.69,608.41,609.27,610.32,89.8258,89.8295,89.8223
2023-01-22 05:52:16,0.303,0.296,0.309,647.319,677.097,665.167,123.61,129.47,127.42,607.82,608.66,609.76,89.8264,89.8303,89.8228
2023-01-22 05:49:16,0.304,0.298,0.31,647.203,676.982,665.051,123.53,129.43,127.36,607.55,608.55,609.59,89.8258,89.8295,89.8224
2023-01-22 05:46:16,0.303,0.296,0.308,647.339,677.129,665.194,123.59,129.49,127.43,607.7,608.72,609.79,89.8265,89.8302,89.8234
2023-01-22 05:43:16,0.303,0.297,0.308,648.087,677.912,665.962,123.85,129.75,127.67,608.3,609.23,610.24,89.8266,89.83,89.8236
2023-01-22 05:40:16,0.304,0.297,0.309,647.237,677.021,665.088,123.55,129.42,127.34,607.61,608.49,609.46,89.826,89.8297,89.8229
2023-01-22 05:37:16,0.305,0.298,0.311,647.788,677.593,665.65,123.69,129.58,127.5,607.8,608.71,609.71,89.8253,89.8291,89.8221
2023-01-22 05:34:16,0.307,0.3,0.312,647.455,677.245,665.308,123.61,129.47,127.4,607.71,608.52,609.55,89.8242,89.828,89.821
2023-01-22 05:31:16,0.303,0.297,0.309,647.257,677.043,665.109,123.56,129.46,127.41,607.66,608.64,609.75,89.8262,89.8298,89.8229
2023-01-22 05:28:16,0.304,0.298,0.31,648.073,677.897,665.945,123.74,129.63,127.58,607.79,608.69,609.8,89.8257,89.8292,89.8225
2023-01-22 05:25:16,0.305,0.298,0.31,647.394,677.185,665.247,123.62,129.48,127.41,607.81,608.63,609.66,89.8255,89.8291,89.8222
2023-01-22 05:22:16,0.304,0.297,0.31,647.222,677.001,665.067,123.55,129.43,127.36,607.62,608.53,609.56,89.8256,89.8296,89.8224
2023-01-22 05:19:16,0.302,0.296,0.308,647.427,677.218,665.278,123.64,129.5,127.44,607.87,608.7,609.75,89.8267,89.8307,89.8236
2023-01-22 05:16:16,0.305,0.298,0.31,647.272,677.054,665.119,123.64,129.51,127.47,608.03,608.89,610.02,89.8255,89.8295,89.8223
2023-01-22 05:13:16,0.305,0.298,0.31,647.216,676.995,665.061,123.58,129.47,127.4,607.77,608.72,609.76,89.8254,89.8294,89.8222
2023-01-22 05:10:16,0.308,0.301,0.313,647.438,677.227,665.288,123.63,129.51,127.46,607.8,608.74,609.83,89.8236,89.8275,89.8205
2023-01-22 05:07:16,0.304,0.296,0.31,647.355,677.132,665.199,123.64,129.54,127.47,607.95,608.97,609.97,89.8258,89.8302,89.8226
2023-01-22 05:04:16,0.305,0.297,0.311,647.245,677.015,665.084,123.6,129.51,127.42,607.85,608.91,609.84,89.8251,89.8296,89.8216
2023-01-22 05:01:16,0.303,0.295,0.309,647.307,677.077,665.145,123.64,129.53,127.46,608.02,608.93,609.96,89.8266,89.8312,89.8231
2023-01-22 04:58:16,0.306,0.298,0.312,647.353,677.13,665.196,123.65,129.52,127.51,608.01,608.88,610.14,89.8249,89.8294,89.8214
2023-01-22 04:55:16,0.3,0.292,0.306,647.732,677.522,665.584,123.72,129.61,127.55,608.01,608.95,609.98,89.8281,89.8327,89.8247
2023-01-22 04:52:16,0.304,0.295,0.31,647.267,677.027,665.101,123.61,129.52,127.45,607.88,608.97,609.94,89.8259,89.8309,89.8223
2023-01-22 04:49:16,0.303,0.295,0.31,647.329,677.096,665.168,123.69,129.58,127.52,608.22,609.18,610.22,89.8262,89.831,89.8227
2023-01-22 04:46:16,0.304,0.295,0.31,647.255,677.011,665.088,123.68,129.57,127.51,608.24,609.18,610.28,89.826,89.831,89.8222
2023-01-22 04:43:16,0.301,0.293,0.308,647.477,677.245,665.316,123.75,129.64,127.58,608.37,609.32,610.39,89.8275,89.8324,89.8237
2023-01-22 04:40:16,0.304,0.294,0.311,647.267,677.016,665.096,123.69,129.56,127.5,608.28,609.15,610.19,89.8258,89.8313,89.8218
2023-01-22 04:37:16,0.303,0.295,0.31,648.099,677.892,665.954,123.94,129.85,127.78,608.72,609.71,610.78,89.8263,89.8311,89.8223
2023-01-22 04:34:16,0.303,0.294,0.309,647.373,677.131,665.209,123.73,129.6,127.54,608.39,609.24,610.29,89.8267,89.8315,89.8228
